,prop_id,prop_id.1,prop_name.1,primary_commodity,mo_source_date,mo_yr_source_date,mine_type1,mine_type2,mine_type3,commodities_list,state_province,snl_global_region,latitude,longitude,coordinate_accuracy,distance_from,location_comments,locale,district,country/region_pol_risk,country/region_op_risk,country/region_sec_risk,country/region_ter_risk,millhead_grade_g_per_tonne,millhead_grade_g_per_cubic_m,millhead_grade_pct,millhead_grade_ct_per_tonne,millhead_grade_ct_per_cubic_m,recov_rate,production_capacity_oz,production_capacity_tonne,production_capacity_lb,production_capacity_ct,num_royalty_owners,owner_list,num_royalty_holders,royalty_holder_list,cash_cost_per_oz,cash_cost_per_tonne,cash_cost_per_lb,cash_cost_per_ct,total_production_cost_per_oz,total_production_cost_per_tonne,total_production_cost_per_lb,total_production_cost_per_ct,all_in_sustaining_cost_per_oz,all_in_sustaining_cost_per_tonne,all_in_sustaining_cost_per_lb,all_in_sustaining_cost_per_ct,start_up_yr,start_up_calendar_qtr,proj_start_up_yr,proj_start_up_qtr,actual_closure_yr,actual_closure_qtr,proj_closure_yr,proj_closure_qtr,mill_capacity_tonnes_per_day,mill_capacity_tonnes_per_year,mill_capacity_cubic_m_per_day,mill_capacity_cubic_m_per_year,stripping_ratio,waste_to_ore_ratio,mining_methods,processing_methods,production_forms,mining_processing_cost_per_metric_tonne,mining_processing_cost_per_cubic_m,amt_capital_invested,capital_cost_announced_date,capital_cost_proj_completion_date,capital_cost_completion_date,capital_cost_type,capital_cost_comments,capital_improvement_yr,owner_name,current_owner_common_name,current_owner_company_name_abbrev,owner_type,owner_pct,current_controlling_own_pct,owner_hq,owner_city_state,owner_location,owner_frgn_province,owner_country,owner_global_region,prop_name,also_known_as,country_name,actv_status,dev_stage,yr_source_date,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),remark,production_capacity_openpit,production_capacity_underground,production_capacity,productiion_to_capacity,mine_life,country/region_overall_risk,prob_shutdown,current_stage
114,35288.0,35288.0,Brooke's Point,Nickel,9.0,09/2011,,,,"Nickel,Cobalt,Iron Ore",Palawan,Asia-Pacific,8.96032,117.82398,Exact,150 km SW of Puerto Princesa,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120.0,700000.0,,,,,,,,,,1000000.0,2011-09-13,,,Initial Capital Cost,"In August 2011, MacroAsia and Jinchuan agreed to jointly invest about $1 billion at Infanta to bring the nickel project into production. (ICM 9/9/11) The mine would have a 13-year mine life. (MB 9/12/11)",2011.0,,,,,,,,,,,,,Brooke's Point,Infanta,Philippines,Inactive,Reserves Development,2011.0,,1.23,,34.8,,,,,,,,,8.0,0.2621440000000001,Development-stage
123,31090.0,31090.0,Buli,Nickel,7.0,07/2021,Open Pit,,,"Nickel,Iron Ore,Cobalt",Maluku Utara,Asia-Pacific,0.843,128.27,Exact,80 km E of Sofifi,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,PT Aneka Tambang Tbk (Owner) 100%,,,,,,,,,,,,,,,2001.0,2.0,2001.0,,,,,,6200.0,2046000.0,,,,,Open Pit,,Cathodes,,,1600000.0,2014-12-31,,,Initial Capital Cost,"In 2014, PT Antam was seeking financing for the East Halmahera Ferronickel (FHT) project and holding discussions with potential strategic partners. The FeNi Haltim project would have a production capacity of 40,000 mt Ni with an estimated project cost of $1.6 billion.  (PT Antam 12/14 AR Mar 10, 2015)",2014.0,PT Aneka Tambang Tbk,PT Aneka Tambang Tbk,Antam,,100.0,100.0,Jakarta,"Jakarta, Jakarta Raya",Jakarta [ID],Jakarta Raya,Indonesia,Asia-Pacific,Buli,"Mabapura, Pearl, Pomalaa, Tanjung Buli",Indonesia,Active,Satellite,2021.0,227673.0,1.8,,,,5200000.0,,1797412.817085861,1079092.989804195,3235343.07075455,,,8.0,0.2621440000000001,Construction-stage
126,27292.0,27292.0,Bulong,Nickel,1.0,01/2019,Open Pit,,,"Nickel,Cobalt,Gold",Western Australia,Asia-Pacific,-30.80006,121.81901,Exact,35 km ESE of Kalgoorlie,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Ardea Resources Limited (Owner) 100%,,,,,,,,,,,,,,,1999.0,1.0,1999.0,1.0,,,,,1670.0,550000.0,,,1.5,,,"Autoclaving, Pressure Acid Leaching, Solvent-Extraction Electrowinning",Cathodes,,,,1989-09-01,,,Initial Capital Cost,"Bulong began production in 1999; (MJ 3/12/99) however, the plant did not perform as planned. Preston was forced to undertake a financial restructuring and 95% of the plant was acquired by the company's creditors. (MJ 4/30/04)_x000D_
	Capital costs to develop the operation were $156.9 million (A$249 million). (Preston 6/99 QR)_x000D_
	In mid-December 1998, Preston completed a $185 million bond issue thereby completing the long-term financing of the Bulong project. _x000D_
	Bulong Operation, a wholly owned subsudiary of Preston, issued the $185 milllion worth of senior secured notes. Proceeds will be used to repay a bridging facility from Barclays Capital, which currently has an outstanding amount of $163.5 million. The balance will be used for the fees and costs of the facility and the first half-yearly interest payments on the notes, (MB 12/17/98) which Preston made in June 1999, (Preston 6/99 QR) before cash flow from Bulong is established. (MB 12/17/98)_x000D_
 	In June 1998, the total project cost was put at A$242 million. (MB 6/4/98) _x000D_
	In March 1998, Resolute stated that the capital cost estimate was A$230 million.  (PC 3/98)_x000D_
	Capital funding is to be provided through a private placement and project financing and will be 60/40 debt to equity.  (PC 3/98)_x000D_
      	In October 1996, the capital cost was reported as A$184 million for an expandable 550,000 mt/y operation.  (KM 10/4/96) Resolute raised A$150 million from the placement of 60 million shares at A$2.50 each.  (MJ 9/27/96)  The remaining funding will be A$33 million by project finance.  (MF 10/96)  The budget to upgrade the road from Kalgoorlie to Bulong was A$7 million.  (KM 1/10/97)_x000D_
	In June 1995 it was reported that the capital cost estimate for a 550,000 st/y operation was revised downwards to A$150 million. (GG 6/5/95)  To build a titanium autoclave resistant to the highly corrive salt water will cost A$42 million.  (MB 12/14/95)_x000D_
   In 1994 the cost was estimated at $216 million (A$300 million) which included A$90 million for water.  At that time however, Resolute was considering using hypersaline palechannel instead.  (Resolute 6/94 AR 10/7/94)	_x000D_
	THE 1989 CAPITAL COST PROJECTION FOR A 1.1-MILLION ST/Y MINE, PRESSURE LEACHING FACILITY, AND SULFURIC ACID PLANT WAS AROUND A$150 MILLION ($118.5 MILLION).  (DC 9/89)",1989.0,Ardea Resources Limited,Ardea Resources Ltd.,Ardea Rsrc Ltd,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Bulong,"Avalon, Balham, Boulder Block, Bulong East, Cyprus, East, Griffon, Gunnersbury, Half Moon, Kalgoorlie Nickel, KNP, Limehouse, M25/134, M25/145, M25/161, M25/171, M25/209, M25/59, Monument, Monument South, P25/2062, Patch Dam, Pinta, Queen Lapage, Railway South, Taurus, Tooting Bec, Wapping",Australia,Active,Reserves Development,2019.0,,0.88,,54.1,476100.0,,resource status is 30/06/2019,,,,,,4.0,0.0040960000000000015,Development-stage
137,32591.0,32591.0,Caldag,Nickel,11.0,11/2011,Open Pit,,,"Nickel,Cobalt",Manisa,Europe,38.9,27.73333,Approximate,74 km NE of Izmir,,,,2.0,3.0,2.0,2.0,,,,,,,,,,,1.0,Vtg Holdings As (Owner) 100%,,,,,,,,,,,,,,,,,2010.0,4.0,,,2024.0,4.0,8180.0,2700000.0,,,,,Open Pit,Heap Leach,Hydroxide,,,428000.0,2005-11-25,,,Initial Capital Cost,"In May 2010, European announced that an indicative term sheet was signed for financing of the Caldag project. (Rusina PR 5/17/10)_x000D_
	Later in May 2010, European Nickel signed a joint mandate letter with Société Générale and UniCredit for a $300 million term loan facility and $25 million over-run facility for the development of Caldag. (Rusina PR 5/26/10)_x000D_
	In February 2009, European Nickel announced revised capital costs for the Caldag project at $428 million. At that time, $70 million had already been spent. (European Nickel PR 2/19/09)_x000D_
	By September 2006, the total project development cost estimate had been reduced from $310 to $300 million. (European Nickel PR 9/22/06)_x000D_
	In November 2005, European Nickel completed a feasibility study at Caldag. _x000D_
	European Nickel planned to finance the full $330 million development cost of Caldag, including the costs during the build-up to full production, through 60% debt and 40% equity. (MJ 11/25/05)",2005.0,Vtg Holdings As,Vtg Holdings As,Vtg Hldgs As,,100.0,100.0,,,,,Turkey,Europe,Caldag,Calda,Turkey,Active,Construction Planned,2011.0,375160.0,1.13,,33.0,375160.0,33200000.0,Zorly Group AnnRpt 2018,3765228.641869194,1913111.4193918037,4254708.365312189,,,9.0,0.531441,Construction-stage
149,27355.0,27355.0,Carnilya Hill,Nickel,3.0,03/2021,Underground,,,"Nickel,Gold",Western Australia,Asia-Pacific,-31.05556,121.86389,Exact,50 km SE of Kalgoorlie,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Mincor Resources NL (Owner) 100%,,,,,,,,,,,,,,,2008.0,1.0,1979.0,,2012.0,1.0,,,,,,,,,"Long Hole Stoping, Underground",,,,,23500.0,2007-06-12,,,Initial Capital Cost,"In late January 2008, Mincor announced it started production at Carnilya Hill.  The mine was completed and commissioned on budget and would ramp-up over the next six-months to it's 5,000 mt/y Ni average rate. (Mincor PR 1/23/08)_x000D_
	In June 2007, the total capital costs for the life of the ore reserve was estimated at $23.5 million (A$28 million) to be split between the JV partners. (Mincor PR 6/12/07)",2007.0,Mincor Resources NL,Mincor Resources NL,Mincor Rsrc NL,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Carnilya Hill,"Carnilya East, Coogee, Dunlop, L26/0241, M26/453, M26/47, M26/48, M26/49, Michigan, North Kambalda, Zone 29",Australia,Inactive,Reserves Development,2021.0,2044.0,2.8,,0.1,3000.0,73000.0,,174699.2522886737,153972.55862301696,431123.1641444475,,,4.0,0.0040960000000000015,Development-stage
159,29335.0,29335.0,Cawse,Nickel,9.0,09/2021,Open Pit,,,"Nickel,Cobalt",Western Australia,Asia-Pacific,-30.37056,121.14611,Exact,50 km NW of Kalgoorlie,"Cawse is located 50 km from Kalgoorie, Western Australia. (Norilsk 12/13 AR 4/4/14)",,,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,Wingstar Investments Pty. Ltd. (Owner) 100%; Dragon Mountain Gold Limited (Fractional),,,,,,,,,,,,,,,1999.0,1.0,2012.0,4.0,,,,,3030.0,1000000.0,,,,,Open Pit,"Autoclaving, Pressure Acid Leaching, Solvent-Extraction Electrowinning","Cathodes, Precipitates",,,234000.0,1997-06-30,,,Initial Capital Cost,"In May 1999, Centaur reported that the total cost of the project was $234 million (A$360 million).  (Centaur PR 5/13/99) This cost included $16 million (A$25 million) for the power station. (Centaur 9/98 QR 10/20/98)_x000D_
	In November 1997, Centaur completed a $225 million financing in US capital markets. (KM 11/26/97)_x000D_
	In August 1997, Centaur raised A$64 million for the project from a private placement at A$1.60/share.  (WA 8/6/97)  The funds were to be used for project development and working capital. (MB 8/14/97)_x000D_
	Chase Manhattan Bank was appointed to arrange project financing by December 5, 1997. (Australian Gold 6/97 AR 9/9/97)",1997.0,Wingstar Investments Pty. Ltd.,Wingstar Investments Pty. Ltd.,Wingstar Invts Pty,,100.0,100.0,Subiaco,"Subiaco, Western Australia",Subiaco [AU],Western Australia,Australia,Asia-Pacific,Cawse,"Bunyip Dam, Cawse Extended, Cawse Find, Dragon, M24/224, M24/389, M24/517, M24/518, M24/519, M24/520, M24/543, M24/544, M24/573, M24/577, M24/578, M24/579, M24/619, M24/802, Satyr, Siberia Tank, Unicorn Pit",Australia,Inactive,Feasibility,2021.0,303000.0,1.0,,176.485,1219300.0,30300000.0,Poseidon Nickel AnnRpt 2019,3139864.1941721775,1608541.8538936728,3139864.1941721775,,,4.0,0.0040960000000000015,Feasibility-stage
163,31466.0,31466.0,Central Musgrave,Nickel,7.0,07/2021,Open Pit,,,"Nickel,Cobalt,Iron Ore,Platinum,Palladium,Scandium",Western Australia,Asia-Pacific,-26.05756,128.95332,Exact,240 km E of Warburton,Wingellina is located immediately southwest of the Western Australia/South Australian/Northern Territory border. (Acclaim 3/01 QR 5/1/01),,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Metals X Limited (Owner) 100%,,,,,,,,,,,,,,,,,2019.0,,,,2065.0,,13000.0,4300000.0,,,,0.5,Open Pit,High Pressure Acid Leach,"Concentrate, Hydroxide",,,2600000.0,2012-11-23,,,Initial Capital Cost,"In November 2012, Metals X estimated the capital cost of its Wingellina at $2.6 billion (A$2.5 billion). (Metals X Pres 11/23/12)_x000D_
	In September 2008, Metals X announced the results from the Wingellina feasibility study.  The mine would cost $2.1 billion (A$2.2 billion) to construct with production estimated at 40,000 mt/y Ni and 3,000 mt/y Co at cash costs of $3.34/lb Ni over the 39-year mine life. Construction approval was pending financing. (Metals X PR 9/12/08)_x000D_
	In April 2007, Metals X completed a scoping study on the project.  With a 46 year mine life, capital costs were expected to be $1.344 billon (A$1.682 billion) with an IRR of 34.1%. (Metals X PR 4/12/07)",2012.0,Metals X Limited,Metals X Ltd.,Metals X Ltd,,100.0,100.0,Perth,"Perth, Western Australia",Perth [AU],Western Australia,Australia,Asia-Pacific,Central Musgrave,"Beadell, Claude Hill, Claude Hills, CMNP, CMP, Inco, Mount Davies, Mt Davies, Scarface, Wingellina",Australia,Active,Operating,2021.0,1561000.0,0.93,41477.0,,1684000.0,168422000.0,Ardea Resources AnnRpt 2019Metals X Ltd PR20080912,8904618.905352559,3909226.026998721,8281295.581977881,0.005008515828159071,37.63531595824192,4.0,0.0040960000000000015,Operating-stage
166,28584.0,28584.0,Cerro Matoso,Nickel,6.0,06/2021,Open Pit,,,Nickel,Córdoba,Latin America and Caribbean,7.90667,-75.55056,Exact,15 km SW of Montelíbano,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,2.0,South32 Limited (Venturer) 99.94%; Mineworkers (Venturer) 0.06%,,,,,,,,,,,,,,,1982.0,,,,,,2029.0,,9100.0,3000000.0,,,,,Open Pit,"Crushing, Grinding, Ore Sorting, Smelting",Granules,,,400000.0,2011-06-30,,1982-01-01,Initial Capital Cost,Nickel production began in 1982. (BHP 6/11 AR 9/23/11),1982.0,South32 Limited,South32 Ltd.,South32,Venturer,99.94,100.0,Perth,"Perth, Western Australia",Perth [AU],Western Australia,Australia,Asia-Pacific,Cerro Matoso,"Cerromatoso, CMSA, La Esmeralda",Colombia,Active,Operating,2021.0,444000.0,1.2,41000.0,314.0,2707000.0,37000000.0,South 32 AnnRpt 2019South 32 AnnRpt 2019,4290278.870470755,2158731.87995104,5148334.644564905,0.007963740283138681,10.829268292682928,7.0,0.11764899999999996,Operating-stage
183,28851.0,28851.0,Clean TeQ Sunrise,Nickel,7.0,07/2021,Open Pit,,,"Nickel,Cobalt,Scandium,Platinum,Palladium",New South Wales,Asia-Pacific,-32.76215,147.42705,Exact,125 km WSW of Dubbo,The project is located approximately 4.5 km north-west of the village of Fifield and approximately 45 km north-east of Condobolin in the Central West Region of NSW. (Syerston Rpt 5/21/09),,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Sunrise Energy Metals Limited (Owner) 100%,1.0,Ivanhoe Mines Ltd. (GR) 2.5%,,,,,,,,,,,,,,,2021.0,1.0,,,2071.0,,,,,,,,Open Pit,"Autoclaving, Calcination, High Pressure Acid Leach, Resin-In-Pulp, Solvent-Extraction Electrowinning","Concentrate, Sulfates",,,1658000.0,1995-11-01,,,Initial Capital Cost,"In September 2020, Clean TeQ completed the Project Execution Plan for Sunrise which updated the 2018 DFS, the capital cost estimate was at $1.658 billion excluding contingency of $168 million. (Clean TeQ PR Sept 27, 2020)_x000D_
   In June 2018, CleanTeQ released an NI43-101 Technical Report for the Sunrise project reviewing the 2018 Definitive Feasibility Study. The Study considered open pit mining and ore processing by HPAL and Resin-in-pulp producing hydrated nickel sulfate, hydrated cobalt sulfate and scandium oxide (scandium production capped at 10 mt/y/3% total revenue).  Initial capital cost is $1,491 million including contingency ($1,326 million without). (Clean TeQ TR June 25, 2018)_x000D_
   In November 2017, the 2016 PFS was updated based on the latest estimates for capital and operating costs. Total capital costs for the Project were revised to be $784 million (including a contingency of $102 million) compared to the original 2016 PFS capital cost estimate of $680 million (including $62 million contingency).    (Clean TeQ TR Nov 2, 2017)_x000D_
   In October 2016, PFS results estimated initial capital cost of A$906 million, including contingency of A$83 million. (Clean TeQ PR Oct 5, 2016)_x000D_
   In October 2000, capital costs to develop the project were estimated at A$629 million excluding leased facilities.   Black Range was in negotiations with major industry partners and major banks for project debt. Also, Westpac Corporate Finance was mandated to evaluate separate financing of infrastructure and the mixed sulfide refinery. (DC 10/00)_x000D_
   In May 2000, a bankable feasibility study estimated capital costs of A$640 million. Operating at 2 million mt/y to produce 20,000 mt/y Ni and 5,000 mt/y Co at net operating costs were expected to average $1.05/b ($0.45/lb in early years) after cobalt credits but before platinum credits. (IMR 5/00)_x000D_
   The feasibility study was financed through a C$10 million loan facility provided by CIBC Capital Partners of Toronto. CIBC was issued 44 million options as part of the financing. (DC 10/00)_x000D_
	In July 1998, the prefeasibility study estimated for a 1.5 million-mt/y operation capital costs would be A$493 million. (Uranium Australia PR 7/30/98)_x000D_
	The 1995 estimated capital costs for a 1 million mt/y operation using acid pressure leaching were A$230 million. (PD 11/95)",1995.0,Sunrise Energy Metals Limited,Sunrise Energy Metals Ltd.,Sunrise Energy Met,,100.0,100.0,Melbourne,"Melbourne, Victoria",Melbourne [AU],Victoria,Australia,Asia-Pacific,Clean TeQ Sunrise,"EL4573, EL8561, ML1770, Phoenix, Sunrise, Sunrise East, Syerston, Tout",Australia,Active,Operating,2021.0,825440.0,0.56,20000.0,184.0,928500.0,147400000.0,"Western Areas Resource Statement 2019Fairfield et al., 2018",4916822.690003262,2184595.885926763,2753420.706401827,0.007263692015353521,41.272,4.0,0.0040960000000000015,Operating-stage
184,29280.0,29280.0,Cliffs,Nickel,9.0,09/2018,Underground,,,Nickel,Western Australia,Asia-Pacific,-27.31306,120.55306,Exact,430 km north of Kalgoorlie; 720 km NE of Perth,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,BHP Group (Owner) 100%,,,,,,,,,,,,,,,2008.0,2.0,2008.0,4.0,,,2020.0,,,,,,,,Underground,,,,,139000.0,2008-06-30,,,Initial Capital Cost,"In September 2008, Cliff's capital costs were estimated at close to $139 million. (BHP Billiton 6/08 AR 9/9/08)",2008.0,BHP Group,BHP Group,BHP Grp,,100.0,100.0,Melbourne,"Melbourne, Victoria",Melbourne [AU],Victoria,Australia,Asia-Pacific,Cliffs,"Charterhall, Cliffs Mt Keith, Leinster, Nickel West",Australia,Active,Satellite,2018.0,46500.0,3.1,,,,1500000.0,,1379730.192465222,926397.3254822629,2871831.708995015,,,4.0,0.0040960000000000015,Construction-stage
189,28021.0,28021.0,Codemin,Nickel,10.0,10/2021,Open Pit,,,Nickel,Goiás,Latin America and Caribbean,-14.15678,-48.33885,Exact,35 km NNE of Niquelândia,The Niquelandia mine is adjacent to the Codemin Ferro-Nickel smelter. (Anglo American 12/13 AR 2/13/14),,,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,Anglo American plc (Owner) 100%,,,,,,,,,,,,,,,1982.0,,,,,,2037.0,,1580.0,520000.0,,,,,Open Pit,Smelting,Concentrate,,,60000.0,2004-01-05,,,,"In January 2004, Codemin was investing $60 million to increase production of ferronickel from 6,000 mt/y to 10,000 mt/y by 2005.  (BNA 1/5/04)_x000D_
	In 2005, Anglo American completed an expansion that increased ferro-nickel production to 10,000 mt/y. (MJ 9/29/06)",2004.0,Anglo American plc,Anglo American PLC,Anglo American,,100.0,100.0,London,"London, England",London [GB],England,United Kingdom,Europe,Codemin,"Angiquinho, Coriola, Corrego da Fazenda, Jacuba, Niquelandia, Ribera do Engenho, Vendinha",Brazil,Active,Operating,2021.0,104000.0,1.25,8600.0,10.6,134000.0,8300000.0,"Mota e Silva et al., 2013",1691546.453090369,973684.4592885862,2114433.066362961,0.004067284104099294,12.093023255813954,7.0,0.11764899999999996,Operating-stage
